ID_Club,ID_Liga,POS,Club,PTS_2020-2021,PTS_2021-2022,PTS_2022-2023,PTS_2023-2024,P_2020-2021,P_2021-2022,P_2022-2023,P_2023-2024,W_2020-2021,W_2021-2022,W_2022-2023,W_2023-2024,D_2020-2021,D_2021-2022,D_2022-2023,D_2023-2024,L_2020-2021,L_2021-2022,L_2022-2023,L_2023-2024,GF_2020-2021,GF_2021-2022,GF_2022-2023,GF_2023-2024,GA_2020-2021,GA_2021-2022,GA_2022-2023,GA_2023-2024,GD_2020-2021,GD_2021-2022,GD_2022-2023,GD_2023-2024,AVG
1,3,1,INTER,91,86,90,94,38,38,38,38,28,26,28,29,7,8,6,7,3,4,4,2,89,69,77,89,35,31,28,22,54,38,49,67,90
2,3,2,MILAN,79,84,74,75,38,38,38,38,24,25,22,22,7,9,8,9,7,4,8,7,74,84,60,76,41,32,30,49,33,52,30,27,78
3,3,3,ATALANTA,78,79,72,71,38,38,38,38,23,24,23,19,9,7,3,14,6,7,12,5,90,74,71,54,47,31,42,31,43,43,29,23,75
4,3,4,JUVENTUS,78,70,70,69,38,38,38,38,23,20,20,21,9,10,10,6,6,8,8,11,77,57,64,72,38,37,43,42,39,20,21,30,72
5,3,5,NAPOLI,77,64,64,68,38,38,38,38,24,18,19,18,5,10,7,14,9,10,12,6,86,77,66,54,41,58,48,32,45,19,18,22,68
6,3,6,LAZIO,68,63,63,63,38,38,38,38,21,18,18,18,5,9,9,9,12,11,11,11,61,59,50,65,55,43,38,46,6,16,12,19,64
7,3,7,ROMA,62,62,62,61,38,38,38,38,18,19,22,18,8,5,6,7,12,14,10,13,68,59,56,49,58,51,33,39,10,8,23,10,62
8,3,8,SASSUOLO,62,59,56,60,38,38,38,38,17,16,15,17,11,11,11,9,10,11,12,12,64,65,53,61,56,48,43,46,8,17,10,15,59
9,3,9,SAMPDORIA,52,53,54,53,38,38,38,38,15,14,14,13,7,11,12,14,16,13,13,11,52,65,53,36,54,59,49,36,-2,6,4,0,53
10,3,10,HELLAS VERONA,45,50,53,53,38,38,38,38,11,13,14,13,12,11,11,14,15,14,13,11,46,46,42,55,48,41,41,48,-2,5,1,7,50
11,3,11,GENOA,42,50,52,49,38,38,38,38,10,13,14,12,12,11,10,13,16,14,14,13,47,64,48,45,58,66,52,45,-11,-2,-4,0,48
12,3,12,BOLOGNA,41,47,46,45,38,38,38,38,10,11,11,11,11,14,13,12,17,13,14,15,51,61,47,39,65,58,48,51,-14,3,-1,-12,45
13,3,13,FIORENTINA,40,46,45,38,38,38,38,38,9,12,12,9,13,10,9,11,16,16,17,18,47,44,47,38,59,55,61,51,-12,-11,-14,-13,42
14,3,14,UDINESE,40,41,43,37,38,38,38,38,10,10,10,8,10,11,13,14,18,17,15,16,42,50,37,32,58,70,49,54,-16,-20,-12,-22,40
15,3,15,SPEZIA,39,36,42,36,38,38,38,38,9,10,9,6,12,6,15,19,17,22,14,13,52,46,48,37,72,63,62,53,-20,-17,-14,-16,38
16,3,16,CAGLIARI,37,36,36,36,38,38,38,38,9,10,8,8,10,6,12,12,19,22,18,18,43,41,33,42,59,71,46,68,-16,-30,-13,-26,36
17,3,17,TORINO,37,31,31,36,38,38,38,38,7,7,7,9,16,10,10,9,15,21,21,20,50,33,31,29,69,78,59,54,-19,-45,-28,-25,34
18,3,18,BENEVENTO,33,30,31,35,38,38,38,38,7,6,6,8,12,12,13,11,19,20,19,19,40,34,31,44,75,68,62,69,-19,-34,-31,-25,32
19,3,19,CROTONE,23,28,27,30,38,38,38,38,6,4,5,7,5,16,12,9,27,18,21,22,45,27,36,43,92,60,69,75,-47,-33,-33,-32,27
20,3,20,PARMA,20,27,19,17,38,38,38,38,3,6,3,2,11,9,10,11,24,23,25,25,39,34,24,32,83,69,71,81,-44,-35,-47,-49,21
